"[34, 118, 89, 65, 9]","[104, 76, 111, 40, 117]",
"[34, 76, 111, 114, 65]",,,"[52, 117, 119, 40, 102]"
,"[34, 118, 89, 65, 9]","[104, 76, 52, 87, 40]",
"[34, 76, 118, 40, 114]",,,"[101, 117, 119, 14, 100]"
"[34, 76, 89, 110, 31]",,,"[104, 101, 9, 100, 20]"
,"[34, 76, 89, 110, 40]","[118, 101, 9, 31, 55]",
"[34, 76, 119, 9, 117]",,,"[89, 104, 111, 87, 110]"
,"[34, 62, 117, 87, 65]","[118, 76, 111, 9, 40]",
,"[101, 89, 111, 114, 65]","[118, 52, 117, 34, 31]",
"[119, 101, 76, 9, 34]",,,"[111, 104, 65, 20, 52]"
,"[118, 119, 89, 97, 100]","[101, 34, 117, 82, 65]",
"[119, 76, 118, 100, 105]",,,"[101, 104, 117, 40, 34]"
,"[117, 34, 118, 40, 47]","[119, 9, 111, 102, 100]",
"[34, 118, 37, 65, 9]",,,"[101, 119, 76, 40, 80]"
,"[117, 34, 101, 99, 74]","[118, 76, 52, 47, 65]",
,"[34, 48, 118, 101, 52]","[89, 104, 76, 117, 115]",
"[34, 48, 76, 9, 40]",,,"[20, 111, 97, 100, 99]"
,"[89, 34, 118, 100, 105]","[48, 117, 111, 104, 40]",
"[119, 101, 118, 111, 97]",,,"[34, 117, 40, 37, 115]"
,"[118, 89, 119, 9, 87]","[37, 52, 34, 99, 105]",
,"[48, 89, 118, 40, 114]","[119, 34, 101, 100, 87]",
,"[48, 89, 118, 76, 65]","[117, 104, 111, 34, 100]",
"[48, 34, 118, 101, 110]",,,"[119, 117, 40, 20, 52]"
,"[48, 34, 89, 100, 105]","[117, 101, 118, 110, 31]",
"[48, 34, 4, 76, 102]",,,"[118, 65, 101, 20, 87]"
,"[48, 89, 118, 100, 53]","[117, 34, 101, 40, 37]",
"[48, 34, 118, 20, 102]",,,"[111, 117, 65, 110, 97]"
"[117, 104, 118, 111, 76]",,,"[114, 48, 119, 44, 101]"
,"[118, 89, 117, 95, 119]","[48, 100, 111, 103, 87]",
"[48, 34, 20, 114, 76]",,,"[4, 111, 119, 62, 100]"
,"[89, 118, 34, 100, 114]","[117, 48, 111, 31, 119]",
"[48, 34, 118, 114, 100]",,,"[111, 4, 76, 119, 31]"
,"[48, 89, 118, 100, 114]","[117, 34, 119, 111, 73]",
"[48, 76, 118, 100, 97]",,,"[117, 52, 34, 114, 119]"
"[76, 48, 52, 101, 9]",,,"[20, 118, 114, 87, 115]"
"[76, 48, 52, 9, 34]",,,"[118, 111, 114, 102, 4]"
,"[89, 48, 118, 104, 99]","[76, 100, 34, 62, 97]",
"[48, 76, 34, 4, 37]",,,"[62, 111, 40, 97, 20]"
,"[48, 34, 89, 4, 101]","[118, 100, 76, 117, 52]",
"[48, 34, 118, 101, 76]",,,"[117, 114, 20, 104, 52]"
"[48, 34, 111, 20, 102]",,,"[117, 52, 114, 101, 97]"
"[34, 48, 117, 99, 100]",,,"[111, 104, 20, 31, 4]"
,"[34, 118, 89, 97, 103]","[117, 48, 111, 104, 100]",
"[48, 34, 62, 117, 98]",,,"[111, 76, 100, 37, 80]"
,"[89, 118, 111, 99, 9]","[76, 34, 37, 117, 100]",
"[48, 34, 62, 20, 65]",,,"[111, 117, 104, 76, 31]"
"[48, 34, 62, 20, 69]",,,"[37, 111, 31, 76, 79]"
,"[48, 34, 118, 59, 53]","[117, 120, 111, 37, 65]",
,"[34, 118, 48, 9, 119]","[117, 120, 89, 37, 19]",
,"[48, 34, 118, 19, 119]","[89, 87, 120, 25, 97]",
"[48, 34, 111, 53, 114]",,,"[117, 118, 120, 105, 101]"
"[48, 34, 119, 53, 37]",,,"[111, 117, 120, 105, 82]"
,"[48, 34, 117, 111, 52]","[89, 9, 120, 119, 19]",
"[34, 48, 118, 101, 119]",,,"[120, 9, 100, 37, 25]"
,"[34, 48, 117, 105, 19]","[120, 87, 118, 53, 111]",
"[34, 48, 76, 9, 101]",,,"[111, 118, 19, 105, 87]"
"[34, 48, 76, 19, 65]",,,"[111, 120, 119, 105, 9]"
"[48, 34, 117, 9, 99]",,,"[111, 19, 118, 105, 101]"
,"[120, 34, 48, 100, 110]","[111, 118, 117, 105, 20]",
,"[120, 34, 119, 118, 97]","[48, 111, 117, 37, 100]",
,"[34, 48, 120, 89, 105]","[117, 19, 101, 100, 119]",
"[34, 48, 111, 102, 76]",,,"[117, 101, 119, 19, 89]"
,"[34, 104, 111, 89, 65]","[120, 117, 48, 105, 118]",
"[101, 118, 119, 105, 89]",,,"[48, 117, 111, 97, 65]"
"[52, 120, 48, 19, 20]",,,"[119, 117, 76, 101, 105]"
